,Frequency,MeanAmplitude,Lat,Lon,TransmitterDistance
343,88.2,-29.8363636364,1.385351,103.745053,
344,88.4,-36.2258064516,1.385351,103.745053,
345,88.5,-36.9302325581,1.385351,103.745053,
346,88.6,-37.7142857143,1.385351,103.745053,
347,88.7,-36.5,1.385351,103.745053,
348,88.8,-36.5555555556,1.385351,103.745053,
349,89.0,-32.7555555556,1.385351,103.745053,
350,89.1,-37.5294117647,1.385351,103.745053,
351,89.2,-37.4848484848,1.385351,103.745053,
352,89.3,-34.54,1.385351,103.745053,
353,89.4,-31.1698113208,1.385351,103.745053,
354,89.5,-31.8113207547,1.385351,103.745053,
355,89.6,-28.0727272727,1.385351,103.745053,
356,89.8,-28.0545454545,1.385351,103.745053,
357,89.9,-34.4375,1.385351,103.745053,
358,90.2,-36.9454545455,1.385351,103.745053,
359,90.3,-29.66,1.385351,103.745053,
360,90.4,-25.6727272727,1.385351,103.745053,
361,90.6,-22.8727272727,1.385351,103.745053,
362,90.7,-30.2181818182,1.385351,103.745053,
363,90.8,-21.9818181818,1.385351,103.745053,
364,91.0,-21.3090909091,1.385351,103.745053,
365,91.1,-19.5454545455,1.385351,103.745053,
366,91.2,-25.1454545455,1.385351,103.745053,
367,91.4,-25.8363636364,1.385351,103.745053,
368,91.5,-24.2181818182,1.385351,103.745053,
369,91.6,-20.2363636364,1.385351,103.745053,
370,91.8,-28.6181818182,1.385351,103.745053,
371,91.9,-19.5090909091,1.385351,103.745053,
372,92.1,-24.7272727273,1.385351,103.745053,
373,92.2,-27.4181818182,1.385351,103.745053,
374,92.3,-26.3272727273,1.385351,103.745053,
375,92.5,-26.3272727273,1.385351,103.745053,
376,92.6,-25.8727272727,1.385351,103.745053,
377,92.7,-27.3454545455,1.385351,103.745053,
378,92.9,-18.4181818182,1.385351,103.745053,
379,93.0,-26.4909090909,1.385351,103.745053,
380,93.1,-29.2727272727,1.385351,103.745053,
381,93.2,-28.6545454545,1.385351,103.745053,
382,93.4,-24.8181818182,1.385351,103.745053,
383,93.5,-29.2909090909,1.385351,103.745053,
384,93.6,-22.0909090909,1.385351,103.745053,
385,93.7,-23.5454545455,1.385351,103.745053,
386,93.9,-22.6181818182,1.385351,103.745053,
387,94.0,-29.8363636364,1.385351,103.745053,
388,94.1,-26.5454545455,1.385351,103.745053,
389,94.3,-22.4545454545,1.385351,103.745053,
390,94.4,-25.0181818182,1.385351,103.745053,
391,94.5,-25.5818181818,1.385351,103.745053,
392,94.7,-19.4,1.385351,103.745053,
393,94.8,-26.9454545455,1.385351,103.745053,
394,94.9,-27.5636363636,1.385351,103.745053,
395,95.1,-23.8909090909,1.385351,103.745053,
396,95.2,-18.8545454545,1.385351,103.745053,
397,95.3,-24.8363636364,1.385351,103.745053,
398,95.5,-24.8,1.385351,103.745053,
399,95.6,-25.1090909091,1.385351,103.745053,
400,95.7,-20.5090909091,1.385351,103.745053,
401,95.9,-28.1272727273,1.385351,103.745053,
402,96.0,-24.3636363636,1.385351,103.745053,
403,96.1,-31.5636363636,1.385351,103.745053,
404,96.2,-27.8909090909,1.385351,103.745053,
405,96.4,-28.2545454545,1.385351,103.745053,
406,96.5,-29.6,1.385351,103.745053,
407,96.6,-33.0727272727,1.385351,103.745053,
408,96.7,-25.6,1.385351,103.745053,
409,96.9,-27.7090909091,1.385351,103.745053,
410,97.0,-32.0363636364,1.385351,103.745053,
411,97.1,-31.8333333333,1.385351,103.745053,
412,97.3,-31.3272727273,1.385351,103.745053,
413,97.4,-35.6226415094,1.385351,103.745053,
414,97.5,-35.085106383,1.385351,103.745053,
415,97.7,-31.8909090909,1.385351,103.745053,
416,97.8,-35.36,1.385351,103.745053,
417,97.9,-33.0555555556,1.385351,103.745053,
418,98.1,-35.0,1.385351,103.745053,
419,98.2,-30.7169811321,1.385351,103.745053,
420,98.3,-28.7924528302,1.385351,103.745053,
421,98.5,-37.64,1.385351,103.745053,
422,98.6,-26.8679245283,1.385351,103.745053,
423,98.8,-25.3076923077,1.385351,103.745053,
424,98.9,-38.3333333333,1.385351,103.745053,
425,99.0,-37.2564102564,1.385351,103.745053,
426,99.2,-35.5172413793,1.385351,103.745053,
427,99.3,-38.2,1.385351,103.745053,
428,99.4,-31.8163265306,1.385351,103.745053,
429,99.6,-12.1636363636,1.385351,103.745053,
430,99.7,-13.6545454545,1.385351,103.745053,
431,99.8,-13.4363636364,1.385351,103.745053,
432,100.0,-21.7090909091,1.385351,103.745053,
433,100.1,-35.5,1.385351,103.745053,
434,100.2,-17.4909090909,1.385351,103.745053,
435,100.4,-23.0,1.385351,103.745053,
436,100.5,-40.0,1.385351,103.745053,
437,100.8,-28.0,1.385351,103.745053,
438,100.9,-38.0,1.385351,103.745053,
439,101.0,-37.0,1.385351,103.745053,
440,101.3,-35.0277777778,1.385351,103.745053,
441,101.6,-40.0,1.385351,103.745053,
